BlockCode,TechCode,TechCategory,max_ad_down,max_ad_up
060014001001001,11,Copper (DSL/VDSL),18.0,1.5
060014001001001,12,Copper (DSL/VDSL),25.0,5.0
060014001001003,10,Copper (DSL/VDSL),3.0,0.384
060014001001003,11,Copper (DSL/VDSL),1.5,1.0
060014001001003,50,Fiber to the Premises,1000.0,1000.0
060014001001010,11,Copper (DSL/VDSL),0.768,0.384
060014001001010,50,Fiber to the Premises,1000.0,1000.0
060014001001011,11,Copper (DSL/VDSL),18.0,1.5
060014001001011,12,Copper (DSL/VDSL),100.0,20.0
060014001001011,50,Fiber to the Premises,1000.0,1000.0
060014001001013,11,Copper (DSL/VDSL),1.5,1.0
060014001001013,50,Fiber to the Premises,1000.0,1000.0
060014001001014,11,Copper (DSL/VDSL),18.0,1.5
060014001001014,12,Copper (DSL/VDSL),50.0,10.0
060014001001015,11,Copper (DSL/VDSL),18.0,1.5
060014001001015,12,Copper (DSL/VDSL),50.0,10.0
060014001001016,11,Copper (DSL/VDSL),18.0,1.5
060014001001016,12,Copper (DSL/VDSL),75.0,20.0
060014001001017,11,Copper (DSL/VDSL),18.0,1.5
060014001001017,12,Copper (DSL/VDSL),75.0,20.0
060014001001018,10,Copper (DSL/VDSL),6.0,0.512
060014001001018,11,Copper (DSL/VDSL),18.0,1.5
060014001001018,12,Copper (DSL/VDSL),100.0,20.0
060014001001018,50,Fiber to the Premises,1000.0,1000.0
060014001001019,10,Copper (DSL/VDSL),3.0,0.384
060014001001019,11,Copper (DSL/VDSL),18.0,1.5
060014001001019,12,Copper (DSL/VDSL),50.0,10.0
060014001001019,50,Fiber to the Premises,1000.0,1000.0
060014001001020,11,Copper (DSL/VDSL),18.0,1.5
060014001001020,12,Copper (DSL/VDSL),100.0,20.0
060014001001020,50,Fiber to the Premises,1000.0,1000.0
060014001001021,11,Copper (DSL/VDSL),1.5,1.0
060014001001021,50,Fiber to the Premises,1000.0,1000.0
060014001001022,11,Copper (DSL/VDSL),18.0,1.5
060014001001022,12,Copper (DSL/VDSL),100.0,20.0
060014001001023,10,Copper (DSL/VDSL),6.0,0.512
060014001001023,11,Copper (DSL/VDSL),18.0,1.5
060014001001023,12,Copper (DSL/VDSL),50.0,10.0
060014001001023,50,Fiber to the Premises,1000.0,1000.0
060014001001024,11,Copper (DSL/VDSL),18.0,1.5
060014001001024,12,Copper (DSL/VDSL),25.0,5.0
060014001001024,50,Fiber to the Premises,1000.0,1000.0
060014001001025,11,Copper (DSL/VDSL),18.0,1.5
060014001001025,12,Copper (DSL/VDSL),50.0,10.0
060014001001025,50,Fiber to the Premises,1000.0,1000.0
060014001001026,11,Copper (DSL/VDSL),18.0,1.5
060014001001026,12,Copper (DSL/VDSL),50.0,10.0
060014001001026,50,Fiber to the Premises,1000.0,1000.0
060014001001028,11,Copper (DSL/VDSL),18.0,1.5
060014001001028,12,Copper (DSL/VDSL),75.0,20.0
060014001001028,50,Fiber to the Premises,1000.0,1000.0
060014001001030,10,Copper (DSL/VDSL),3.0,0.384
060014001001030,11,Copper (DSL/VDSL),18.0,1.5
060014001001030,12,Copper (DSL/VDSL),75.0,20.0
060014001001030,50,Fiber to the Premises,1000.0,1000.0
060014001001031,11,Copper (DSL/VDSL),18.0,1.5
060014001001031,12,Copper (DSL/VDSL),100.0,20.0
060014001001032,11,Copper (DSL/VDSL),18.0,1.5
060014001001032,12,Copper (DSL/VDSL),100.0,20.0
060014001001032,50,Fiber to the Premises,1000.0,1000.0
060014001002001,11,Copper (DSL/VDSL),18.0,1.5
060014001002001,12,Copper (DSL/VDSL),100.0,20.0
060014001002001,50,Fiber to the Premises,1000.0,1000.0
060014001002003,11,Copper (DSL/VDSL),18.0,1.5
060014001002003,50,Fiber to the Premises,1000.0,1000.0
060014001002004,11,Copper (DSL/VDSL),18.0,1.5
060014001002004,12,Copper (DSL/VDSL),50.0,10.0
060014001002004,50,Fiber to the Premises,1000.0,1000.0
060014001002005,11,Copper (DSL/VDSL),18.0,1.5
060014001002005,12,Copper (DSL/VDSL),50.0,10.0
060014001002005,50,Fiber to the Premises,1000.0,1000.0
060014001002006,11,Copper (DSL/VDSL),12.0,1.5
060014001002006,50,Fiber to the Premises,1000.0,1000.0
060014001002007,11,Copper (DSL/VDSL),18.0,1.5
060014001002007,12,Copper (DSL/VDSL),50.0,10.0
060014001002007,50,Fiber to the Premises,1000.0,1000.0
060014001002008,11,Copper (DSL/VDSL),18.0,1.5
060014001002008,12,Copper (DSL/VDSL),75.0,20.0
060014001002008,50,Fiber to the Premises,1000.0,1000.0
060014001002009,11,Copper (DSL/VDSL),18.0,1.5
060014001002009,12,Copper (DSL/VDSL),50.0,10.0
060014001002010,11,Copper (DSL/VDSL),18.0,1.5
060014001002010,12,Copper (DSL/VDSL),50.0,10.0
060014001002011,11,Copper (DSL/VDSL),18.0,1.5
060014001002011,12,Copper (DSL/VDSL),50.0,10.0
060014001002012,10,Copper (DSL/VDSL),3.0,0.384
060014001002012,11,Copper (DSL/VDSL),18.0,1.5
060014001002012,12,Copper (DSL/VDSL),50.0,10.0
060014001002013,11,Copper (DSL/VDSL),18.0,1.5
060014001002013,12,Copper (DSL/VDSL),50.0,10.0
060014001002014,10,Copper (DSL/VDSL),3.0,0.384
060014001002014,11,Copper (DSL/VDSL),18.0,1.5
060014001002014,12,Copper (DSL/VDSL),25.0,5.0
060014001002015,11,Copper (DSL/VDSL),18.0,1.5
060014001002015,12,Copper (DSL/VDSL),100.0,20.0
060014001002016,11,Copper (DSL/VDSL),18.0,1.5
060014001002016,12,Copper (DSL/VDSL),75.0,20.0
060014001002018,50,Fiber to the Premises,1000.0,1000.0
060014001002019,11,Copper (DSL/VDSL),18.0,1.5
060014001002019,12,Copper (DSL/VDSL),50.0,10.0
060014001002020,50,Fiber to the Premises,1000.0,1000.0
060014001002021,50,Fiber to the Premises,1000.0,1000.0
060014002001000,11,Copper (DSL/VDSL),18.0,1.5
060014002001000,12,Copper (DSL/VDSL),50.0,10.0
060014002001000,50,Fiber to the Premises,1000.0,1000.0
060014002001001,10,Copper (DSL/VDSL),3.0,0.384
060014002001001,12,Copper (DSL/VDSL),75.0,20.0
060014002001001,50,Fiber to the Premises,1000.0,1000.0
060014002001003,11,Copper (DSL/VDSL),18.0,1.5
060014002001003,12,Copper (DSL/VDSL),50.0,10.0
060014002001003,50,Fiber to the Premises,1000.0,1000.0
060014002001005,10,Copper (DSL/VDSL),1.5,0.256
060014002001005,11,Copper (DSL/VDSL),18.0,1.5
060014002001005,12,Copper (DSL/VDSL),50.0,10.0
060014002001006,10,Copper (DSL/VDSL),3.0,0.384
060014002001006,11,Copper (DSL/VDSL),18.0,1.5
060014002001006,12,Copper (DSL/VDSL),75.0,20.0
060014002001007,10,Copper (DSL/VDSL),3.0,0.384
060014002001007,11,Copper (DSL/VDSL),18.0,1.5
060014002001007,12,Copper (DSL/VDSL),75.0,20.0
060014002001008,10,Copper (DSL/VDSL),3.0,0.384
060014002001008,11,Copper (DSL/VDSL),18.0,1.5
060014002001008,12,Copper (DSL/VDSL),100.0,20.0
060014002001009,10,Copper (DSL/VDSL),1.5,0.256
060014002001009,11,Copper (DSL/VDSL),18.0,1.5
060014002001009,12,Copper (DSL/VDSL),50.0,10.0
060014002001010,10,Copper (DSL/VDSL),3.0,0.384
060014002001010,11,Copper (DSL/VDSL),18.0,1.5
060014002001010,12,Copper (DSL/VDSL),100.0,20.0
060014002001011,10,Copper (DSL/VDSL),1.5,0.256
060014002001011,11,Copper (DSL/VDSL),18.0,1.5
060014002001011,12,Copper (DSL/VDSL),100.0,20.0
060014002001012,11,Copper (DSL/VDSL),18.0,1.5
060014002001012,12,Copper (DSL/VDSL),100.0,20.0
060014002001014,11,Copper (DSL/VDSL),18.0,1.5
060014002001014,12,Copper (DSL/VDSL),100.0,20.0
060014002001015,11,Copper (DSL/VDSL),18.0,1.5
060014002001015,12,Copper (DSL/VDSL),100.0,20.0
060014002001015,50,Fiber to the Premises,1000.0,1000.0
060014002001016,11,Copper (DSL/VDSL),18.0,1.5
060014002001016,12,Copper (DSL/VDSL),50.0,10.0
060014002001017,10,Copper (DSL/VDSL),0.768,0.256
060014002001017,11,Copper (DSL/VDSL),18.0,1.5
060014002001017,12,Copper (DSL/VDSL),100.0,20.0
060014002001018,11,Copper (DSL/VDSL),18.0,1.5
060014002001018,12,Copper (DSL/VDSL),100.0,20.0
060014002001019,11,Copper (DSL/VDSL),18.0,1.5
060014002001019,12,Copper (DSL/VDSL),100.0,20.0
060014002001020,11,Copper (DSL/VDSL),18.0,1.5
